	0	0	0	0	0	0		0
F919EA_17438A34AD0A6_005	5	29	0	0	0	0		0
F919EA_17436CE9B6780_005	5	14	0	0	0	0		1
F919EA_174382495C3B0_002	7	1	0	0	0	0		0
F919EA_174434C89D928_003	16	87	27	25	16	27		1
