112233_173FD772E4941_000	62	27	0	0	0	0		0
112233_173D8BFD00D00_000	31	37	0	3	3	3		0
112233_173D164FFAC9E_000	222	50	0	0	0	5		0
112233_17300914DC712_000	9	0	0	0	0	0		0
112233_170744F6C5616_000	10	0	0	0	0	0		0
112233_17320DD038C0F_001	15	0	0	0	0	0		0
112233_17411DB76D52A_000	15	65	10	4	3	10		1
20B49A_174300447B976_001	1	0	0	0	0	0		0
20B49A_17430D11DC3C2_000	7	0	0	0	0	0		0
20B49A_1743149BBAC45_000	8	0	0	0	0	0		0
20B49A_17431E5EB7E3F_000	14	103	0	0	0	12		1
112233_174323D84A0D2_000	3	0	0	0	0	0		0
112233_174391D04EE1A_000	5	18	9	16	0	0		0
112233_17439613D0F72_000	8	23	11	0	0	1		0
112233_17432DF3AC918_000	0	0	0	0	0	0		0
112233_17432DF3AC918_001	0	0	0	0	0	0		0
112233_17432DF3AC918_002	5	7	0	0	0	0		0
112233_174327D34421E_000	9	146	15	8	0	6		2
112233_17433107B97C0_000	13	77	0	0	0	1		0
112233_17432EE79D5B0_000	8	40	0	0	0	1		1
112233_1743353BEE79D_000	28	72	0	0	0	14		1
112233_17434183ADA55_000	26	125	14	32	4	9		2
20B49A_1743CC3CE7194_000	6	0	0	0	0	0		0
20B49A_174446EAFA986_000	0	0	0	0	0	0		0
20B49A_174447FE340AA_000	0	0	0	0	0	0		0
